text;likes;words_amount;unique_word_count;char_count;sentiment
Kayzer abi burdayız senin ve Türkiye   için;196;7;7;43;Very Negative
Kayzer abi her zaman yanındayız ;566;5;5;32;Very Positive
Bro, they should’ve known they were gonna lose when Gio said I didn’t tell yall I play airsoft;5;20;18;94;Very Negative
Burdayız kayzer abiiii ;1383;3;3;23;Very Negative
Türkler bu videoyu beğenerek gücümüzü gösterelim HAYDİ TÜRKLER..;393;8;7;64;Very Positive
Kayzer abi burdayız;1358;3;3;19;Very Negative
Torunların burada kayzer REİS ;2;4;5;30;Very Negative
That was tough Noah, I Gotchu   37:56;8515;8;8;37;Neutral
Burdayız kayze abi;823;3;3;18;Very Negative
Kayzer abi buradayıız ;854;3;3;22;Very Positive
Kayzerrrrr;4;1;1;10;Very Positive
Kayzer abi burdayız;1363;3;3;19;Very Negative
"Kayzer fanları nerdesiniz
(Beğeniler için teşekkürler )";373;6;6;55;Very Negative
Kayzer abi burdayızzzzzzz;548;3;3;25;Very Negative
Congratulations GIO;1;2;2;19;Very Positive
Burdayız kayzer abi türklerin gücünü gösteriyoruz.;916;6;6;50;Very Negative
Kayzer abi buradayız ;322;3;3;21;Very Positive
Kayzer abi için tüm Türkler bir araya ;689;7;7;38;Very Negative
Beyler bu Kayzer'in yan hesabıdır direnmeyi bırakmayacağız;2;8;8;58;Very Negative
Türkler burdayız dimi kayzer abi için;260;6;6;37;Very Negative
Kayzer abi arkandayız ve yanındayız ;813;5;5;36;Very Positive
Burdayız kayzer abi;896;3;3;19;Very Negative
Today is March 19th. HAPPY BIRTHDAY Bruce Willis.;3;8;8;49;Very Positive
Kayzer abi burdayım ;71;3;3;20;Very Positive
senin için burdayızzzz ;957;3;3;23;Very Negative
Türkler kendini belli etsin as as as bayraklarıKayzerin anısına;206;9;7;63;Very Positive
"Türkler burda mısınız 
Kayzer abi burdayız";3;6;6;42;Very Negative
Kayzer abi burdayız türk ün gücü adına ;853;7;7;39;Very Positive
Akira has some main character energy;9554;6;6;36;Neutral
Kayzer burdayız;1335;2;2;15;Very Negative
Kayzerrrr abiii;2;2;2;15;Very Negative
Kayzer abi senin için her zaman burdayız;63;7;7;40;Very Negative
burdayız kayzer abi ;384;3;3;20;Very Negative
Kayzer abi burdayiz ;856;3;3;20;Very Positive
Burdayız kayzer abi;3;3;3;19;Very Negative
Burdayız kayzer abi;1259;3;3;19;Very Negative
Buradayız Kayseri abi ;942;3;3;22;Very Positive
"Kayzer abim buradayız sen neydesin kayzer abim 
Türk'ün gücüüü ";179;10;8;63;Very Positive
Kayzer abimiz için buradayız asılınn;1;5;5;36;Very Negative
Kayzer abi burdayız ;702;3;3;20;Very Negative
Kayzer abi burdayiz;719;3;3;19;Very Positive
Erownie ve Kayzer için TÜRKLER BURADAYSANIZ GÜCÜNÜZÜ GÖSTERİN;264;8;9;61;Very Positive
Kayzer abi yanındayız;1;3;3;21;Very Negative
